observable,tick,ks_d,p_value,p_value_bonferroni,alpha_global,alpha_corrected
substrates,0,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,1,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,2,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,3,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,4,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,5,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,6,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,7,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,8,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,9,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,10,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,11,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,12,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,13,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,14,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,15,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,16,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,17,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,18,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,19,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,20,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,21,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,22,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,23,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,24,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,25,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,26,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,27,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,28,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,29,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,30,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,31,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,32,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,33,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,34,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,35,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,36,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,37,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,38,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,39,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,40,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,41,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
substrates,42,1.0,1.9823306042836678e-29,7.929322417134671e-27,0.01,2.5e-05
